listing_id,title,monthlyRent,flat_id,address,roomType,sourcePlatform,notes,amenities
L001,Spacious shared room in Bukit Merah,1600,R01,Blk 1 Jalan Bukit Merah,Shared room,99.co,Quiet neighborhood,"{""hasAircon"": false, ""hasHeater"": true, ""hasSwimmingPool"": false, ""hasGym"": false}"
L002,Cozy common room in Tiong Bahru,1780,R02,Blk 123 Kim Tian Road,Common room,PropertyGuru,Student-friendly budget,"{""hasAircon"": true, ""hasHeater"": true, ""hasSwimmingPool"": false, ""hasGym"": false}"
L003,Studio-style private room in Queenstown,2600,R03,Blk 50 Strathmore Avenue,Private room,99.co,Simple central listing,"{""hasAircon"": false, ""hasHeater"": true, ""hasSwimmingPool"": true, ""hasGym"": true}"
L004,Budget shared room in Dawson,1350,R04,Blk 88 Tanglin Halt Road,Shared room,PropertyGuru,Good city access,"{""hasAircon"": true, ""hasHeater"": true, ""hasSwimmingPool"": false, ""hasGym"": false}"
L005,Cozy shared room in Toa Payoh,1020,R05,Blk 1 Lorong 7 Toa Payoh,Shared room,99.co,Higher rent but newer estate,"{""hasAircon"": true, ""hasHeater"": false, ""hasSwimmingPool"": false, ""hasGym"": false}"
L006,Spacious condo room in Toa Payoh East,3050,R06,Blk 190 Lorong 6 Toa Payoh,Condo room,99.co,Premium central option,"{""hasAircon"": false, ""hasHeater"": true, ""hasSwimmingPool"": true, ""hasGym"": true}"
L007,Studio-style common room in Kallang,1120,R07,Blk 1 Kempas Road,Common room,99.co,Quiet neighborhood,"{""hasAircon"": true, ""hasHeater"": true, ""hasSwimmingPool"": false, ""hasGym"": false}"
L008,Cozy private room in Kallang,2600,R08,Blk 8 Boon Keng Road,Private room,PropertyGuru,Affordable option,"{""hasAircon"": true, ""hasHeater"": true, ""hasSwimmingPool"": true, ""hasGym"": true}"
L009,Cozy condo room in Novena area,1950,R09,Blk 11 Jalan Tan Tock Seng,Condo room,99.co,Simple central listing,"{""hasAircon"": true, ""hasHeater"": true, ""hasSwimmingPool"": true, ""hasGym"": true}"
L010,Cozy hdb room in Jalan Besar,1180,R10,Blk 1 Maude Road,HDB room,99.co,Quiet neighborhood,"{""hasAircon"": false, ""hasHeater"": false, ""hasSwimmingPool"": false, ""hasGym"": false}"
L011,Cozy condo room in Bedok South,2950,R11,Blk 1 Bedok South Avenue 1,Condo room,99.co,Student-friendly budget,"{""hasAircon"": false, ""hasHeater"": true, ""hasSwimmingPool"": true, ""hasGym"": true}"
